"","org","year","survey","bush","state","edu","age","female","black","weight"
"108",1,1,1,NA,48,3,1,1,0,735
"109",1,1,1,0,28,2,3,1,0,498
"110",1,1,1,0,36,2,2,0,0,1174
"111",1,1,1,1,5,4,3,1,0,272
"112",1,1,1,1,14,4,3,0,0,293
"113",1,1,1,0,5,4,1,0,1,1393
"114",1,1,1,1,36,4,2,1,0,618
"115",1,1,1,1,14,3,1,0,0,1980
"116",1,1,1,0,47,1,3,1,0,1130
"117",1,1,1,0,23,3,1,1,0,713
"118",1,1,1,0,5,3,2,0,0,1213
"119",1,1,1,0,21,2,4,0,0,2495
"120",1,1,1,1,1,2,3,0,0,1255
"121",1,1,1,1,23,2,3,1,0,997
"122",1,1,1,0,6,3,1,0,0,1224
"123",1,1,1,1,45,2,2,1,0,544
"124",1,1,1,0,44,2,1,0,0,1483
"125",1,1,1,1,3,2,1,1,0,1213
"126",1,1,1,1,13,3,1,1,0,735
"127",1,1,1,1,36,2,4,1,0,661
"128",1,1,1,0,50,4,1,1,0,266
"129",1,1,1,0,1,2,2,1,0,1198
"130",1,1,1,0,21,4,1,0,0,670
"131",1,1,1,0,5,4,2,1,0,318
"132",1,1,1,1,5,4,2,0,0,706
"133",1,1,1,1,10,4,2,0,0,777
"134",1,1,1,1,10,3,1,0,0,1795
"135",1,1,1,NA,14,2,2,1,0,1057
"136",1,1,1,0,5,2,4,1,0,680
"137",1,1,1,0,10,4,1,1,0,603
"138",1,1,1,0,35,1,3,1,0,498
"139",1,1,1,1,14,4,3,1,0,264
"140",1,1,1,1,48,2,2,0,0,1209
"141",1,1,1,NA,45,2,3,1,0,513
"142",1,1,1,1,23,2,2,0,0,587
"143",1,1,1,1,3,2,4,1,0,680
"144",1,1,1,1,23,2,1,1,0,1178
"145",1,1,1,0,10,3,3,1,1,430
"146",1,1,1,1,21,4,3,1,0,897
"147",1,1,1,0,32,2,4,1,1,2043
"148",1,1,1,1,5,4,1,0,0,913
"149",1,1,1,1,23,4,2,1,0,618
"150",1,1,1,1,43,3,2,0,0,667
"151",1,1,1,0,18,4,3,1,0,598
"152",1,1,1,0,48,4,2,1,0,636
"153",1,1,1,0,8,4,2,0,0,1166
"154",1,1,1,0,48,4,3,0,0,151
"155",1,1,1,1,23,2,3,0,0,1107
"156",1,1,1,1,21,3,1,0,0,898
"157",1,1,1,0,5,3,2,0,0,606
"158",1,1,1,1,15,2,2,0,0,1174
"159",1,1,1,NA,14,1,4,1,0,1322
"160",1,1,1,1,5,3,2,1,0,410
"161",1,1,1,1,1,3,3,1,0,572
"162",1,1,1,1,44,2,2,0,0,1330
"163",1,1,1,1,6,3,3,1,0,260
"164",1,1,1,1,5,2,1,1,0,1213
"165",1,1,1,0,24,4,1,0,0,1182
"166",1,1,1,1,17,4,2,0,0,686
"167",1,1,1,1,5,3,2,1,0,1092
"168",1,1,1,0,6,4,2,1,0,318
"169",1,1,1,1,25,2,3,1,0,565
"170",1,1,1,1,5,3,2,1,0,273
"171",1,1,1,0,51,1,3,0,0,1140
"172",1,1,1,0,16,3,2,1,0,530
"173",1,1,1,1,25,1,4,0,0,1663
"174",1,1,1,1,49,1,2,0,0,1665
"175",1,1,1,1,19,3,3,1,0,286
"176",1,1,1,0,5,3,2,1,0,546
"177",1,1,1,0,5,1,1,1,0,607
"178",1,1,1,1,48,2,1,0,0,1347
"179",1,1,1,1,21,2,1,0,0,2224
"180",1,1,1,0,10,2,4,0,0,1663
"181",1,1,1,0,18,1,4,1,0,749
"182",1,1,1,0,21,4,2,1,0,350
"183",1,1,1,0,47,4,1,1,0,302
"184",1,1,1,0,14,2,2,0,0,1761
"185",1,1,1,0,36,2,2,0,1,1343
"186",1,1,1,0,41,2,4,1,0,749
"187",1,1,1,1,33,2,3,0,1,3362
"188",1,1,1,1,5,4,2,0,0,353
"189",1,1,1,1,16,3,3,0,0,841
"190",1,1,1,1,10,2,1,1,0,2670
"191",1,1,1,1,11,2,2,0,1,3044
"192",1,1,1,1,36,2,4,0,0,1468
"193",1,1,1,0,33,4,3,1,0,1751
"194",1,1,1,1,39,2,2,1,0,701
"195",1,1,1,1,1,2,1,1,0,1335
"196",1,1,1,1,36,1,3,1,0,997
"197",1,1,1,1,22,2,3,1,0,2646
"198",1,1,1,1,31,2,2,1,0,1403
"199",1,1,1,1,33,3,2,0,0,781
"200",1,1,1,0,44,2,1,1,0,1335
"201",1,1,1,1,14,2,2,1,0,1057
"202",1,1,1,1,44,3,2,1,0,300
"203",1,1,1,1,3,3,3,1,0,520
"204",1,1,1,0,39,3,3,1,1,1006
"205",1,1,1,0,36,4,3,0,0,879
"206",1,1,1,0,7,2,1,0,0,4341
"207",1,1,1,1,39,3,4,1,0,893
"208",1,1,1,1,31,2,2,1,0,701
"209",1,1,1,1,7,2,2,0,0,1558
"210",1,1,1,1,10,2,3,0,0,1255
"211",1,1,1,0,49,2,4,0,0,2495
"212",1,1,1,0,22,3,3,0,0,744
"213",1,1,1,1,33,2,2,0,0,1558
"214",1,1,1,1,39,2,2,0,0,779
"215",1,1,1,1,22,3,3,0,0,744
"216",1,1,1,0,7,4,3,0,0,1167
"217",1,1,1,0,33,4,2,1,0,205
"218",1,1,1,0,16,3,2,0,0,589
"219",1,1,1,NA,31,2,3,1,0,661
"220",1,1,1,1,5,3,3,1,0,1040
"221",1,1,1,1,33,4,1,0,0,2353
"222",1,1,1,1,39,4,1,0,0,784
"223",1,1,1,1,44,4,1,0,0,670
"224",1,1,1,0,33,4,2,1,0,820
"225",1,1,1,1,10,2,1,1,0,1335
"226",1,1,1,1,33,2,3,0,0,2204
"227",1,1,1,1,43,4,3,1,0,1196
"228",1,1,1,1,23,2,4,1,0,661
"229",1,1,1,NA,31,1,3,0,0,3673
"230",1,1,1,NA,33,2,3,1,0,1984
"231",1,1,1,0,39,3,2,1,0,704
"232",1,1,1,0,33,1,1,0,0,5209
"233",1,1,1,0,39,3,1,0,0,1051
"234",1,1,1,1,20,4,1,0,0,784
"235",1,1,1,0,33,4,3,0,0,583
"236",1,1,1,0,50,4,3,1,0,264
"237",1,1,1,0,39,2,1,0,0,1736
"238",1,1,1,0,33,2,3,0,0,1469
"239",1,1,1,0,7,2,2,0,0,779
"240",1,1,1,1,34,2,1,1,0,668
"241",1,1,1,1,33,4,2,1,0,410
"242",1,1,1,0,22,2,1,0,0,4341
"243",1,1,1,1,4,2,2,1,0,1198
"244",1,1,1,1,39,2,3,1,0,661
"245",1,1,1,1,36,2,4,1,0,661
"246",1,1,1,1,31,4,3,1,0,701
"247",1,1,1,NA,31,3,3,0,0,744
"248",1,1,1,NA,37,2,1,0,0,1483
"249",1,1,1,1,17,2,3,1,0,997
"250",1,1,1,0,19,3,3,1,0,859
"251",1,1,1,0,23,4,4,1,0,411
"252",1,1,1,1,23,3,3,0,0,561
"253",1,1,1,0,38,4,1,0,0,913
"254",1,1,1,1,33,1,4,0,0,1948
"255",1,1,1,1,1,4,3,1,0,598
"256",1,1,1,0,33,3,4,1,0,446
"257",1,1,1,0,31,3,3,1,0,670
"258",1,1,1,0,40,2,4,1,0,1754
"259",1,1,1,0,39,2,3,1,0,1323
"260",1,1,1,1,39,4,2,1,0,820
"261",1,1,1,0,31,4,3,1,0,350
"262",1,1,1,0,23,2,3,1,0,498
"263",1,1,1,1,14,3,1,0,0,1188
"264",1,1,1,1,44,2,4,1,0,749
"265",1,1,1,0,22,2,3,1,0,661
"266",1,1,1,0,23,3,2,1,0,530
"267",1,1,1,1,18,3,1,1,0,1213
"268",1,1,1,0,47,1,4,1,1,1124
"269",1,1,1,0,36,2,4,1,0,1322
"270",1,1,1,0,7,2,3,1,0,1984
"271",1,1,1,0,22,2,2,0,0,779
"272",1,1,1,0,33,4,3,1,0,350
"273",1,1,1,0,39,3,1,1,0,947
"274",1,1,1,0,45,2,1,1,0,1213
"275",1,1,1,1,50,2,4,1,1,1983
"276",1,1,1,0,33,3,3,1,0,670
"277",1,1,1,1,39,4,3,0,0,778
"278",1,1,1,0,26,3,3,0,1,642
"279",1,1,1,1,14,3,4,1,0,673
"280",1,1,1,0,7,4,1,0,0,784
"281",1,1,1,NA,10,2,2,0,0,665
"282",1,1,1,NA,39,2,3,1,0,661
"283",1,1,1,1,17,2,1,1,0,1178
"284",1,1,1,1,10,4,1,1,0,302
"285",1,1,1,0,22,2,1,1,0,782
"286",1,1,1,0,14,2,2,0,0,1174
"287",1,1,1,1,31,4,1,1,0,706
"288",1,1,1,1,33,1,3,1,0,661
"289",1,1,1,0,50,1,3,1,0,997
"290",1,1,1,NA,11,4,2,1,0,700
"291",1,1,1,1,48,4,2,0,0,706
"292",1,1,1,NA,10,4,4,1,0,466
"293",1,1,1,1,44,2,2,0,1,3044
"294",1,1,1,1,42,3,4,1,0,336
"295",1,1,1,0,39,2,3,1,0,2646
"296",1,1,1,1,1,2,2,1,0,1198
"297",1,1,1,0,22,4,2,1,0,410
"298",1,1,1,0,15,2,2,0,0,587
"299",1,1,1,NA,26,1,4,1,0,1322
"300",1,1,1,1,22,2,2,0,0,1558
"301",1,1,1,0,33,4,4,1,0,1091
"302",1,1,1,0,43,2,3,0,0,1882
"303",1,1,1,0,14,3,2,1,0,530
"304",1,1,1,1,31,4,1,0,0,392
"305",1,1,1,NA,41,4,1,1,1,905
"306",1,1,1,1,26,3,1,0,0,1188
"307",1,1,1,0,23,3,4,1,0,336
"308",1,1,1,0,50,4,2,1,0,618
"309",1,1,1,0,50,3,2,0,0,294
"310",1,1,1,0,39,1,3,0,1,3362
"311",1,1,1,1,35,3,2,0,0,294
"312",1,1,1,1,15,3,2,1,0,530
"313",1,1,1,1,44,4,3,0,0,664
"314",1,1,1,1,26,4,2,0,0,686
"315",1,1,1,1,19,1,3,0,0,1255
"316",1,1,1,0,15,2,2,0,0,1174
"317",1,1,1,1,39,4,1,0,0,784
"318",1,1,1,0,25,2,1,1,1,5010
"319",1,1,1,1,31,2,4,1,0,877
"320",1,1,1,0,26,4,4,1,0,1234
"321",1,1,1,1,22,4,2,1,0,410
"322",1,1,1,1,50,3,2,1,0,530
"323",1,1,1,0,14,3,2,1,0,530
"324",1,1,1,0,15,2,1,0,0,1308
"325",1,1,1,1,14,4,3,1,0,396
"326",1,1,1,NA,24,2,3,1,0,997
"327",1,1,1,1,36,2,1,1,0,1178
"328",1,1,1,1,47,1,3,1,0,1130
"329",1,1,1,1,23,4,3,1,0,792
"330",1,1,1,1,23,2,2,1,0,1057
"331",1,1,1,1,15,3,1,0,0,1584
"332",1,1,1,NA,26,1,2,0,0,1469
"333",1,1,1,NA,21,2,4,1,0,749
"334",1,1,1,1,15,4,1,0,0,591
"335",1,1,1,1,34,3,2,1,0,601
"336",1,1,1,1,17,4,3,0,0,440
"337",1,1,1,1,24,2,4,0,0,734
"338",1,1,1,1,50,2,1,0,0,1308
"339",1,1,1,1,14,2,1,0,0,1963
"340",1,1,1,0,15,4,2,0,0,1029
"341",1,1,1,1,26,2,2,0,0,1174
"342",1,1,1,1,31,4,2,1,0,410
"343",1,1,1,1,44,3,3,0,0,318
"344",1,1,1,NA,23,3,2,0,0,1178
"345",1,1,1,0,23,2,2,0,0,587
"346",1,1,1,0,4,2,2,0,0,1330
"347",1,1,1,1,14,4,3,0,0,586
"348",1,1,1,1,37,2,1,1,0,1335
"349",1,1,1,0,17,3,4,1,0,336
"350",1,1,1,0,36,2,3,0,0,1107
"351",1,1,1,1,7,4,1,0,0,392
"352",1,1,1,0,23,4,2,1,0,309
"353",1,1,1,1,23,3,3,0,0,561
"354",1,1,1,1,17,2,2,0,0,1174
"355",1,1,1,1,41,2,3,1,0,3389
"356",1,1,1,1,17,4,1,1,0,532
"357",1,1,1,0,5,1,3,0,0,1140
"358",1,1,1,0,24,2,1,1,0,1178
"359",1,1,1,0,14,4,2,1,0,1235
"360",1,1,1,0,23,3,2,0,0,589
"361",1,1,1,1,14,4,2,0,0,686
"362",1,1,1,1,36,3,1,0,0,792
"363",1,1,1,0,21,2,1,1,1,1002
"364",1,1,1,1,34,3,3,0,0,636
"365",1,1,1,0,22,4,1,1,0,706
"366",1,1,1,NA,26,3,3,1,1,379
"367",1,1,1,0,14,3,3,0,1,642
"368",1,1,1,0,14,2,2,0,0,1174
"369",1,1,1,0,36,4,2,1,0,309
"370",1,1,1,1,44,4,2,1,0,700
"371",1,1,1,1,10,4,2,0,0,389
"372",1,1,1,1,47,1,1,0,0,1483
"373",1,1,1,1,44,3,2,1,0,601
"374",1,1,1,1,11,2,2,1,0,1198
"375",1,1,1,1,1,2,3,0,0,1255
"376",1,1,1,1,50,1,2,1,1,1985
"377",1,1,1,1,16,3,4,0,0,373
"378",1,1,1,1,26,4,2,0,0,686
"379",1,1,1,1,1,3,1,1,1,607
"380",1,1,1,1,14,2,3,1,0,498
"381",1,1,1,1,36,4,1,1,1,799
"382",1,1,1,NA,22,4,2,1,0,820
"383",1,1,1,1,44,2,2,1,0,1198
"384",1,1,1,0,14,2,2,0,0,1174
"385",1,1,1,NA,41,4,2,0,1,1779
"386",1,1,1,0,10,2,4,1,0,1498
"387",1,1,1,1,42,1,4,0,0,734
"388",1,1,1,1,26,1,4,1,0,1322
"389",1,1,1,0,21,1,2,1,1,2250
"390",1,1,1,1,37,2,2,1,0,1198
"391",1,1,1,NA,10,2,4,1,0,749
"392",1,1,1,1,18,2,2,1,0,599
"393",1,1,1,NA,26,4,2,1,0,618
"394",1,1,1,1,44,4,1,1,0,603
"395",1,1,1,0,14,3,2,1,0,265
"396",1,1,1,1,15,4,1,0,0,886
"397",1,1,1,0,19,4,4,0,0,1035
"398",1,1,1,0,49,4,1,1,0,603
"399",1,1,1,1,17,2,3,0,0,1107
"400",1,1,1,1,19,2,3,0,0,1255
"401",1,1,1,1,19,3,2,1,0,601
"402",1,1,1,1,14,3,3,0,0,841
"403",1,1,1,1,36,4,3,0,0,879
"404",1,1,1,1,16,4,2,0,0,343
"405",1,1,1,1,42,1,4,1,0,661
"406",1,1,1,1,23,3,2,1,0,795
"407",1,1,1,1,25,1,2,0,0,1665
"408",1,1,1,1,17,1,2,0,0,1469
"409",1,1,1,0,43,1,4,1,0,749
"410",1,1,1,0,4,2,1,1,0,1335
"411",1,1,1,0,11,3,1,1,1,1213
"412",1,1,1,1,11,4,3,1,0,598
"413",1,1,1,1,44,4,2,1,0,700
"414",1,1,1,1,49,4,2,1,0,350
"415",1,1,1,0,18,2,4,1,0,749
"416",1,1,1,1,1,3,3,1,0,572
"417",1,1,1,1,24,2,4,1,0,661
"418",1,1,1,1,4,4,2,1,0,700
"419",1,1,1,1,25,3,2,1,0,300
"420",1,1,1,1,49,2,1,1,0,2003
"421",1,1,1,1,14,2,1,1,0,1178
"422",1,1,1,1,32,2,3,0,0,1140
"423",1,1,1,1,36,3,2,1,0,795
"424",1,1,1,1,44,2,2,1,0,599
"425",1,1,1,1,44,4,2,1,0,700
"426",1,1,1,0,11,3,3,0,0,636
"427",1,1,1,0,43,1,2,1,0,2249
"428",1,1,1,1,18,3,2,0,0,667
"429",1,1,1,NA,24,2,4,1,0,1982
"430",1,1,1,NA,11,1,1,0,0,2965
"431",1,1,1,NA,44,3,1,0,0,224
"432",1,1,1,1,14,2,3,1,0,498
"433",1,1,1,1,50,2,3,1,0,997
"434",1,1,1,1,44,4,2,1,0,1050
"435",1,1,1,1,19,4,2,1,0,700
"436",1,1,1,1,5,2,3,0,0,1140
"437",1,1,1,1,44,4,2,0,0,777
"438",1,1,1,0,5,4,3,0,0,604
"439",1,1,1,1,3,3,2,0,0,606
"440",1,1,1,0,44,3,1,1,0,808
"441",1,1,1,1,25,4,2,0,0,777
"442",1,1,1,1,1,3,2,1,1,902
"443",1,1,1,0,18,2,3,1,0,565
"444",1,1,1,0,44,2,3,0,0,1882
"445",1,1,1,NA,5,3,3,1,0,520
"446",1,1,1,0,5,2,1,1,0,607
"447",1,1,1,0,6,4,3,0,0,604
"448",1,1,1,0,26,2,2,0,0,1174
"449",1,1,1,0,6,4,1,1,0,1096
"450",1,1,1,0,50,3,1,1,0,713
"451",1,1,1,1,38,4,1,1,0,274
"452",1,1,1,0,24,2,3,1,0,498
"453",1,1,1,0,1,4,2,0,0,777
"454",1,1,1,1,25,2,3,1,0,1130
"455",1,1,1,0,5,2,4,1,0,680
"456",1,1,1,0,5,3,3,0,0,289
"457",1,1,1,0,48,1,2,1,0,1362
"458",1,1,1,NA,17,2,2,0,0,587
"459",1,1,1,1,5,3,3,0,0,433
"460",1,1,1,1,5,4,2,0,0,706
"461",1,1,1,0,45,4,2,1,0,636
"462",1,1,1,1,5,4,1,0,0,304
"463",1,1,1,0,48,4,2,0,0,706
"464",1,1,1,1,5,3,1,1,0,735
"465",1,1,1,1,5,3,2,1,0,546
"466",1,1,1,1,6,3,2,0,0,606
"467",1,1,1,1,5,2,3,0,1,3913
"468",1,1,1,0,5,4,2,0,0,353
"469",1,1,1,NA,5,4,1,1,0,274
"470",1,1,1,NA,5,2,2,0,1,2766
"471",1,1,1,1,5,3,3,1,0,390
"472",1,1,1,1,5,3,1,0,0,1224
"473",1,1,1,0,5,4,2,0,0,706
"474",1,1,1,0,5,2,2,1,0,1088
"475",1,1,1,0,5,1,2,1,0,1362
"476",1,1,1,1,48,2,3,0,0,2280
"477",1,1,1,1,5,4,4,1,0,423
"478",1,1,1,1,3,4,2,0,0,706
"479",1,1,1,1,6,2,4,0,0,1511
"480",1,1,1,0,5,4,3,1,0,272
"481",1,1,1,1,5,1,4,1,0,680
"482",1,1,1,1,32,1,2,0,0,1513
"483",1,1,1,0,13,3,3,0,0,578
"484",1,1,1,1,38,2,4,0,0,1511
"485",1,1,1,1,5,4,1,1,0,274
"486",1,1,1,1,45,4,2,1,0,636
"487",1,1,1,1,48,3,1,1,0,735
"488",1,1,1,0,5,4,2,0,0,353
"489",1,1,1,1,5,4,4,0,0,470
"490",1,1,1,0,5,1,3,0,0,570
"491",1,1,1,0,48,3,2,1,0,546
"492",1,1,1,0,21,4,3,0,0,664
"493",1,1,1,0,8,3,4,1,0,762
"494",1,1,1,1,43,3,2,0,0,667
"495",1,1,1,1,25,3,2,1,0,300
"496",1,1,1,NA,10,2,4,1,0,749
"497",1,1,1,0,10,3,3,0,0,477
"498",1,1,1,0,36,2,3,1,0,997
"499",1,1,1,0,47,2,4,1,0,749
"500",1,1,1,0,1,4,2,1,0,700
"501",1,1,1,NA,11,4,4,1,0,466
"502",1,1,1,1,32,3,2,0,0,910
"503",1,1,1,0,11,2,2,1,1,899
"504",1,1,1,1,5,3,1,1,0,367
"505",1,1,1,0,5,1,3,1,0,1027
"506",1,1,1,0,48,3,2,0,0,606
"507",1,1,1,1,6,2,4,1,0,680
"508",1,1,1,0,5,3,1,0,0,1224
"509",1,1,1,1,10,2,4,0,0,1663
"510",1,1,1,1,22,1,4,0,0,974
"511",1,1,1,1,25,3,1,1,0,808
"512",1,1,1,1,10,2,3,1,0,565
"513",1,1,1,1,20,4,1,1,0,706
"514",1,1,1,0,10,3,3,1,0,286
"515",1,1,1,0,31,3,2,0,0,781
"516",1,1,1,1,39,2,2,0,0,1558
"517",1,1,1,1,44,4,3,1,0,299
"518",1,1,1,1,11,3,1,1,0,808
"519",1,1,1,0,33,4,3,1,0,701
"520",1,1,1,0,22,3,1,1,0,1420
"521",1,1,1,0,34,3,2,1,0,601
"522",1,1,1,1,22,4,1,1,0,706
"523",1,1,1,1,39,2,3,1,0,1323
"524",1,1,1,1,34,2,4,0,0,1663
"525",1,1,1,0,22,2,2,1,0,1052
"526",1,1,1,1,31,2,1,0,0,1736
"527",1,1,1,0,31,3,1,1,0,1893
"528",1,1,1,0,50,2,3,1,0,498
"529",1,1,1,0,31,4,2,1,0,205
"530",1,1,1,1,28,1,1,0,0,1308
"531",1,1,1,1,44,4,2,0,0,1166
"532",1,1,1,0,22,2,1,1,0,1564
"533",1,1,1,NA,47,2,4,1,0,749
"534",1,1,1,0,23,1,3,0,0,554
"535",1,1,1,0,33,4,2,0,0,455
"536",1,1,1,1,18,1,4,1,0,1498
"537",1,1,1,0,33,3,3,1,0,670
"538",1,1,1,0,44,2,3,1,0,1130
"539",1,1,1,0,22,3,2,0,0,781
"540",1,1,1,1,44,4,2,1,0,700
"541",1,1,1,0,39,2,3,0,0,1469
"542",1,1,1,NA,44,1,3,1,1,1695
"543",1,1,1,0,43,2,4,1,0,749
"544",1,1,1,1,7,2,1,1,0,3909
"545",1,1,1,0,10,4,2,1,0,700
"546",1,1,1,0,22,4,2,1,0,820
"547",1,1,1,1,44,1,4,1,1,1124
"548",1,1,1,1,33,4,2,1,0,410
"549",1,1,1,0,21,3,3,1,0,286
"550",1,1,1,0,36,4,1,0,0,591
"551",1,1,1,1,17,4,3,0,0,879
"552",1,1,1,1,33,3,2,0,0,781
"553",1,1,1,0,25,3,1,1,1,607
"554",1,1,1,0,34,1,2,0,0,1665
"555",1,1,1,0,22,1,2,0,0,1949
"556",1,1,1,1,40,3,1,1,0,947
"557",1,1,1,1,22,2,3,1,1,1985
"558",1,1,1,1,43,3,2,1,0,601
"559",1,1,1,0,34,2,3,0,0,627
"560",1,1,1,1,33,3,2,1,0,352
"561",1,1,1,0,33,1,3,1,0,1323
"562",1,1,1,0,39,4,2,0,0,910
"563",1,1,1,0,11,3,2,0,0,667
"564",1,1,1,NA,22,4,1,1,0,1059
"565",1,1,1,NA,39,3,1,1,0,473
"566",1,1,1,1,49,3,1,1,0,1617
"567",1,1,1,0,36,2,3,0,1,1900
"568",1,1,1,NA,33,3,3,0,0,372
"569",1,1,1,1,47,2,2,1,0,1198
"570",1,1,1,1,10,2,3,1,0,1130
"571",1,1,1,0,23,2,3,1,0,1994
"572",1,1,1,0,33,2,2,1,0,1403
"573",1,1,1,0,10,2,2,0,0,1330
"574",1,1,1,1,34,2,1,1,0,1001
"575",1,1,1,1,47,2,1,1,0,2003
"576",1,1,1,0,39,4,3,0,0,389
"577",1,1,1,0,43,3,4,1,0,2287
"578",1,1,1,0,43,1,3,1,0,282
"579",1,1,1,NA,36,3,4,1,0,673
"580",1,1,1,0,39,2,3,1,0,1984
"581",1,1,1,1,47,4,2,0,0,1166
"582",1,1,1,1,14,2,3,1,0,498
"583",1,1,1,1,33,2,2,1,0,1403
"584",1,1,1,1,41,1,2,0,0,832
"585",1,1,1,1,1,1,3,1,1,1695
"586",1,1,1,1,33,4,3,0,0,389
"587",1,1,1,0,33,4,2,1,0,820
"588",1,1,1,1,41,3,2,0,0,1001
"589",1,1,1,1,21,3,2,1,0,601
"590",1,1,1,1,36,2,2,0,0,1174
"591",1,1,1,0,39,4,2,1,0,820
"592",1,1,1,0,25,2,3,1,1,3391
"593",1,1,1,1,19,4,3,0,0,996
"594",1,1,1,1,49,4,2,0,0,777
