"","female","black","age","edu","state","N"
"531",1,0,1,2,9,4448
"532",1,1,1,2,9,14774
"533",0,0,2,2,9,5009
"534",0,1,2,2,9,12643
"535",1,0,2,2,9,490
"536",1,1,2,2,9,14874
"537",0,0,3,2,9,1390
"538",0,1,3,2,9,8818
"539",1,0,3,2,9,1895
"540",1,1,3,2,9,12850
"541",0,0,4,2,9,1561
"542",0,1,4,2,9,3691
"543",1,0,4,2,9,4239
"544",1,1,4,2,9,7940
"545",0,0,1,3,9,8807
"546",0,1,1,3,9,10116
"547",1,0,1,3,9,10723
"548",1,1,1,3,9,13430
"549",0,0,2,3,9,7875
"550",0,1,2,3,9,10831
"551",1,0,2,3,9,2608
"552",1,1,2,3,9,14130
"553",0,0,3,3,9,2053
"554",0,1,3,3,9,5176
"555",1,0,3,3,9,3488
"556",1,1,3,3,9,7850
"557",0,0,4,3,9,1363
"558",0,1,4,3,9,1790
"559",1,0,4,3,9,4042
"560",1,1,4,3,9,3612
"561",0,0,1,4,9,14760
"562",0,1,1,4,9,3018
"563",1,0,1,4,9,18766
"564",1,1,1,4,9,4588
"565",0,0,2,4,9,29023
"566",0,1,2,4,9,8050
"567",1,0,2,4,9,18605
"568",1,1,2,4,9,10399
"569",0,0,3,4,9,13297
"570",0,1,3,4,9,5022
"571",1,0,3,4,9,10687
"572",1,1,3,4,9,5946
"573",0,0,4,4,9,4897
"574",0,1,4,4,9,1903
"575",1,0,4,4,9,4799
"576",1,1,4,4,9,3062
"577",0,0,1,1,10,225275
"578",0,1,1,1,10,63510
"579",1,0,1,1,10,179293
"580",1,1,1,1,10,55203
"581",0,0,2,1,10,243917
"582",0,1,2,1,10,64476
"583",1,0,2,1,10,148919
"584",1,1,2,1,10,61027
"585",0,0,3,1,10,256519
"586",0,1,3,1,10,69033
"587",1,0,3,1,10,299375
"588",1,1,3,1,10,73663
"589",0,0,4,1,10,340217
"590",0,1,4,1,10,38980
"591",1,0,4,1,10,469772
"592",1,1,4,1,10,60760
"593",0,0,1,2,10,295623
"594",0,1,1,2,10,58494
"595",1,0,1,2,10,306619
"596",1,1,1,2,10,61787
"597",0,0,2,2,10,414946
"598",0,1,2,2,10,57177
"599",1,0,2,2,10,341475
"600",1,1,2,2,10,62490
"601",0,0,3,2,10,294616
"602",0,1,3,2,10,25332
"603",1,0,3,2,10,453607
"604",1,1,3,2,10,35899
"605",0,0,4,2,10,249631
"606",0,1,4,2,10,5717
"607",1,0,4,2,10,465960
"608",1,1,4,2,10,9631
"609",0,0,1,3,10,318722
"610",0,1,1,3,10,39035
"611",1,0,1,3,10,391100
"612",1,1,1,3,10,58226
"613",0,0,2,3,10,497437
"614",0,1,2,3,10,45961
"615",1,0,2,3,10,389337
"616",1,1,2,3,10,60119
"617",0,0,3,3,10,275787
"618",0,1,3,3,10,15356
"619",1,0,3,3,10,299288
"620",1,1,3,3,10,20786
"621",0,0,4,3,10,193579
"622",0,1,4,3,10,2878
"623",1,0,4,3,10,222368
"624",1,1,4,3,10,4242
"625",0,0,1,4,10,122656
"626",0,1,1,4,10,7488
"627",1,0,1,4,10,150491
"628",1,1,1,4,10,11740
"629",0,0,2,4,10,413068
"630",0,1,2,4,10,20585
"631",1,0,2,4,10,255654
"632",1,1,2,4,10,27438
"633",0,0,3,4,10,265920
"634",0,1,3,4,10,10225
"635",1,0,3,4,10,167442
"636",1,1,3,4,10,14190
"637",0,0,4,4,10,173970
"638",0,1,4,4,10,2048
"639",1,0,4,4,10,124539
"640",1,1,4,4,10,4351
"641",0,0,1,1,11,111241
"642",0,1,1,1,11,56429
"643",1,0,1,1,11,93723
"644",1,1,1,1,11,49563
"645",0,0,2,1,11,129679
"646",0,1,2,1,11,55647
"647",1,0,2,1,11,75138
"648",1,1,2,1,11,58639
"649",0,0,3,1,11,120202
"650",0,1,3,1,11,59689
"651",1,0,3,1,11,135082
"652",1,1,3,1,11,72897
"653",0,0,4,1,11,101720
"654",0,1,4,1,11,39549
"655",1,0,4,1,11,166524
"656",1,1,4,1,11,70938
"657",0,0,1,2,11,155234
"658",0,1,1,2,11,70814
"659",1,0,1,2,11,160367
"660",1,1,1,2,11,72466
"661",0,0,2,2,11,212638
"662",0,1,2,2,11,66443
"663",1,0,2,2,11,174800
"664",1,1,2,2,11,77096
"665",0,0,3,2,11,127846
"666",0,1,3,2,11,23880
"667",1,0,3,2,11,177121
"668",1,1,3,2,11,32608
"669",0,0,4,2,11,42719
"670",0,1,4,2,11,4104
"671",1,0,4,2,11,83767
"672",1,1,4,2,11,8089
"673",0,0,1,3,11,144546
"674",0,1,1,3,11,41918
"675",1,0,1,3,11,168113
"676",1,1,1,3,11,61679
"677",0,0,2,3,11,202644
"678",0,1,2,3,11,43606
"679",1,0,2,3,11,150445
"680",1,1,2,3,11,57169
"681",0,0,3,3,11,97591
"682",0,1,3,3,11,12041
"683",1,0,3,3,11,98483
"684",1,1,3,3,11,14339
"685",0,0,4,3,11,27062
"686",0,1,4,3,11,1865
"687",1,0,4,3,11,41608
"688",1,1,4,3,11,2816
"689",0,0,1,4,11,71396
"690",0,1,1,4,11,9363
"691",1,0,1,4,11,90721
"692",1,1,1,4,11,16916
"693",0,0,2,4,11,220800
"694",0,1,2,4,11,23437
"695",1,0,2,4,11,136495
"696",1,1,2,4,11,34014
"697",0,0,3,4,11,113704
"698",0,1,3,4,11,9250
"699",1,0,3,4,11,66633
"700",1,1,3,4,11,12750
"701",0,0,4,4,11,29452
"702",0,1,4,4,11,1565
"703",1,0,4,4,11,26557
"704",1,1,4,4,11,4212
"705",0,0,1,1,12,12756
"706",0,1,1,1,12,312
"707",1,0,1,1,12,10090
"708",1,1,1,1,12,199
"709",0,0,2,1,12,15592
"710",0,1,2,1,12,135
"711",1,0,2,1,12,13215
"712",1,1,2,1,12,120
"713",0,0,3,1,12,18643
"714",0,1,3,1,12,75
"715",1,0,3,1,12,24128
"716",1,1,3,1,12,52
"717",0,0,4,1,12,28900
"718",0,1,4,1,12,106
"719",1,0,4,1,12,35061
"720",1,1,4,1,12,68
"721",0,0,1,2,12,47084
"722",0,1,1,2,12,3708
"723",1,0,1,2,12,33262
"724",1,1,1,2,12,1412
"725",0,0,2,2,12,43821
"726",0,1,2,2,12,1208
"727",1,0,2,2,12,34376
"728",1,1,2,2,12,481
"729",0,0,3,2,12,29959
"730",0,1,3,2,12,161
"731",1,0,3,2,12,36919
"732",1,1,3,2,12,114
"733",0,0,4,2,12,15684
"734",0,1,4,2,12,37
"735",1,0,4,2,12,16447
"736",1,1,4,2,12,26
"737",0,0,1,3,12,38908
"738",0,1,1,3,12,2438
"739",1,0,1,3,12,39779
"740",1,1,1,3,12,1910
"741",0,0,2,3,12,61890
"742",0,1,2,3,12,2093
"743",1,0,2,3,12,48918
"744",1,1,2,3,12,1020
"745",0,0,3,3,12,23031
"746",0,1,3,3,12,369
"747",1,0,3,3,12,23605
"748",1,1,3,3,12,117
"749",0,0,4,3,12,6676
"750",0,1,4,3,12,80
"751",1,0,4,3,12,7672
"752",1,1,4,3,12,47
"753",0,0,1,4,12,12729
"754",0,1,1,4,12,252
"755",1,0,1,4,12,14332
"756",1,1,1,4,12,265
"757",0,0,2,4,12,49962
"758",0,1,2,4,12,525
"759",1,0,2,4,12,38420
"760",1,1,2,4,12,530
"761",0,0,3,4,12,26028
"762",0,1,3,4,12,254
"763",1,0,3,4,12,19644
"764",1,1,3,4,12,172
"765",0,0,4,4,12,7879
"766",0,1,4,4,12,12
"767",1,0,4,4,12,5982
"768",1,1,4,4,12,0
"769",0,0,1,1,13,19378
"770",0,1,1,1,13,40
"771",1,0,1,1,13,15085
"772",1,1,1,1,13,77
"773",0,0,2,1,13,17870
"774",0,1,2,1,13,28
"775",1,0,2,1,13,12613
"776",1,1,2,1,13,16
"777",0,0,3,1,13,18064
"778",0,1,3,1,13,43
"779",1,0,3,1,13,17546
"780",1,1,3,1,13,47
"781",0,0,4,1,13,21885
"782",0,1,4,1,13,65
"783",1,0,4,1,13,25278
"784",1,1,4,1,13,61
"785",0,0,1,2,13,26600
"786",0,1,1,2,13,122
"787",1,0,1,2,13,25945
"788",1,1,1,2,13,74
"789",0,0,2,2,13,37588
"790",0,1,2,2,13,126
"791",1,0,2,2,13,33985
"792",1,1,2,2,13,119
"793",0,0,3,2,13,25353
"794",0,1,3,2,13,58
"795",1,0,3,2,13,33239
"796",1,1,3,2,13,63
"797",0,0,4,2,13,14298
"798",0,1,4,2,13,18
"799",1,0,4,2,13,21993
"800",1,1,4,2,13,24
"801",0,0,1,3,13,32410
"802",0,1,1,3,13,401
"803",1,0,1,3,13,35813
"804",1,1,1,3,13,200
"805",0,0,2,3,13,50747
"806",0,1,2,3,13,249
"807",1,0,2,3,13,46032
"808",1,1,2,3,13,70
"809",0,0,3,3,13,24398
"810",0,1,3,3,13,60
"811",1,0,3,3,13,26689
"812",1,1,3,3,13,54
"813",0,0,4,3,13,9882
"814",0,1,4,3,13,20
"815",1,0,4,3,13,14320
"816",1,1,4,3,13,6
"817",0,0,1,4,13,6746
"818",0,1,1,4,13,60
"819",1,0,1,4,13,6566
"820",1,1,1,4,13,46
"821",0,0,2,4,13,34968
"822",0,1,2,4,13,133
"823",1,0,2,4,13,21935
"824",1,1,2,4,13,52
"825",0,0,3,4,13,19766
"826",0,1,3,4,13,19
"827",1,0,3,4,13,11319
"828",1,1,3,4,13,11
"829",0,0,4,4,13,6573
"830",0,1,4,4,13,0
"831",1,0,4,4,13,6715
"832",1,1,4,4,13,0
"833",0,0,1,1,14,168433
"834",0,1,1,1,14,54954
"835",1,0,1,1,14,126051
"836",1,1,1,1,14,46751
"837",0,0,2,1,14,196342
"838",0,1,2,1,14,42927
"839",1,0,2,1,14,131815
"840",1,1,2,1,14,43411
"841",0,0,3,1,14,206794
"842",0,1,3,1,14,54826
"843",1,0,3,1,14,215087
"844",1,1,3,1,14,60816
"845",0,0,4,1,14,227602
"846",0,1,4,1,14,35354
"847",1,0,4,1,14,369314
"848",1,1,4,1,14,54747
"849",0,0,1,2,14,267157
"850",0,1,1,2,14,52483
"851",1,0,1,2,14,246312
"852",1,1,1,2,14,50887
"853",0,0,2,2,14,385648
"854",0,1,2,2,14,47753
"855",1,0,2,2,14,354669
"856",1,1,2,2,14,55207
"857",0,0,3,2,14,278682
"858",0,1,3,2,14,30833
"859",1,0,3,2,14,379275
"860",1,1,3,2,14,41768
"861",0,0,4,2,14,141031
"862",0,1,4,2,14,8529
"863",1,0,4,2,14,260693
"864",1,1,4,2,14,15810
"865",0,0,1,3,14,321765
"866",0,1,1,3,14,47494
"867",1,0,1,3,14,343544
"868",1,1,1,3,14,68018
"869",0,0,2,3,14,446111
"870",0,1,2,3,14,55244
"871",1,0,2,3,14,366032
"872",1,1,2,3,14,79741
"873",0,0,3,3,14,201546
"874",0,1,3,3,14,25169
"875",1,0,3,3,14,216226
"876",1,1,3,3,14,37431
"877",0,0,4,3,14,75469
"878",0,1,4,3,14,5134
"879",1,0,4,3,14,102090
"880",1,1,4,3,14,9085
